dataset,missing_rate,trial,method,ROC-AUC,F1,Accuracy,Log-loss,MCC,n_nodes,n_edges,n_hyperedges,n_test
Epstein emails 2007–2025 (full),0.3,3,Katz,0.5698434446665619,0.009433962264150943,0.5023696682464455,8.08183427367993,0.04873701788285793,426,543,704,211
Epstein emails 2007–2025 (full),0.3,3,Personalized PageRank,0.5391500640147346,0.07272727272727272,0.5165876777251185,6.023097052759655,0.11481582730452868,426,543,704,211
Epstein emails 2007–2025 (full),0.3,3,node2vec,0.45722243435682036,0.15319148936170213,0.5284360189573459,1.7376988533438837,0.12278182636050872,426,543,704,211
Epstein emails 2007–2025 (full),0.3,3,Matrix Completion,0.5733137171222568,0.037209302325581395,0.509478672985782,2.21359212836029,0.0978231976089037,426,543,704,211
Epstein emails 2007–2025 (full),0.3,3,CHESHIRE,0.9014060780305923,0.8054794520547945,0.8317535545023697,1.551021711593226,0.6891286063517215,426,543,704,211
Epstein emails 2007–2025 (full),0.3,4,Null-Tie,0.5,0.6666666666666666,0.5,0.6931471805599453,0.0,426,543,704,211
Epstein emails 2007–2025 (full),0.3,4,Common Neighbors,0.5180588935558501,0.14785992217898833,0.48104265402843605,8.228425936804136,-0.060829906467247355,426,543,704,211
Epstein emails 2007–2025 (full),0.3,4,Jaccard,0.5036611935940343,0.01702127659574468,0.45260663507109006,9.22989576170676,-0.20463637726751452,426,543,704,211
Epstein emails 2007–2025 (full),0.3,4,Adamic–Adar,0.5394982143258238,0.08181818181818182,0.5213270142180095,8.221152179073762,0.14762034939153687,426,543,704,211
Epstein emails 2007–2025 (full),0.3,4,Resource Allocation,0.5403068214999663,0.08181818181818182,0.5213270142180095,8.228330312837198,0.14762034939153687,426,543,704,211
Epstein emails 2007–2025 (full),0.3,4,Preferential Attachment,0.5264032703667932,0.046296296296296294,0.5118483412322274,6.672260661610454,0.1095007199696007,426,543,704,211
Epstein emails 2007–2025 (full),0.3,4,Katz,0.5407560477078233,0.009389671361502348,0.5,8.172226853382986,0.0,426,543,704,211
Epstein emails 2007–2025 (full),0.3,4,Personalized PageRank,0.49848386154848273,0.028037383177570093,0.5071090047393365,6.4979718158514554,0.08461621909897775,426,543,704,211
Epstein emails 2007–2025 (full),0.3,4,node2vec,0.44949574358168054,0.13793103448275862,0.5260663507109005,1.8901282102921773,0.1198700955420024,426,543,704,211
Epstein emails 2007–2025 (full),0.3,4,Matrix Completion,0.5718874239123111,0.046296296296296294,0.5118483412322274,1.8736934591095822,0.1095007199696007,426,543,704,211
Epstein emails 2007–2025 (full),0.3,4,CHESHIRE,0.9067967925248759,0.8162162162162162,0.8388625592417062,1.3920556364677168,0.6992936764917151,426,543,704,211
Epstein emails 2007–2025 (full),0.5,0,Null-Tie,0.5,0.6666666666666666,0.5,0.6931471805599453,0.0,426,543,704,352
Epstein emails 2007–2025 (full),0.5,0,Common Neighbors,0.5059642949380165,0.064343163538874,0.5042613636363636,9.730933785948544,0.02504962654416412,426,543,704,352
Epstein emails 2007–2025 (full),0.5,0,Jaccard,0.504543840392562,0.02203856749311295,0.49573863636363635,10.013350104891856,-0.034360406637202474,426,543,704,352
Epstein emails 2007–2025 (full),0.5,0,Adamic–Adar,0.5072798295454546,0.03899721448467967,0.5099431818181818,9.729770731397899,0.10021497695896886,426,543,704,352
Epstein emails 2007–2025 (full),0.5,0,Resource Allocation,0.5072515818698348,0.03899721448467967,0.5099431818181818,9.73408575608055,0.10021497695896886,426,543,704,352
Epstein emails 2007–2025 (full),0.5,0,Preferential Attachment,0.528300135588843,0.044444444444444446,0.5113636363636364,7.502064354268401,0.10721125348377948,426,543,704,352
Epstein emails 2007–2025 (full),0.5,0,Katz,0.49585969783057854,0.0056657223796034,0.5014204545454546,9.854854080080026,0.03771571432023571,426,543,704,352
Epstein emails 2007–2025 (full),0.5,0,Personalized PageRank,0.5390988184400827,0.011267605633802818,0.5014204545454546,7.567534228712076,0.021806218711931717,426,543,704,352
Epstein emails 2007–2025 (full),0.5,0,node2vec,0.4704852143595042,0.10309278350515463,0.5056818181818182,2.0922250285725483,0.025794107751137895,426,543,704,352
Epstein emails 2007–2025 (full),0.5,0,Matrix Completion,0.5095557851239669,0.005633802816901409,0.49857954545454547,10.364340071622204,-0.021806218711931717,426,543,704,352
Epstein emails 2007–2025 (full),0.5,0,CHESHIRE,0.8967668517561984,0.7749576988155669,0.8110795454545454,1.5753005489357705,0.6569293838866442,426,543,704,352
Epstein emails 2007–2025 (full),0.5,1,Null-Tie,0.5,0.6666666666666666,0.5,0.6931471805599453,0.0,426,543,704,352
Epstein emails 2007–2025 (full),0.5,1,Common Neighbors,0.49423747417355374,0.04838709677419355,0.4971590909090909,10.204409744089777,-0.017099639201419235,426,543,704,352
Epstein emails 2007–2025 (full),0.5,1,Jaccard,0.49299457644628103,0.005509641873278237,0.4872159090909091,10.238515722071797,-0.10308121991160743,426,543,704,352
Epstein emails 2007–2025 (full),0.5,1,Adamic–Adar,0.4956902117768595,0.044444444444444446,0.5113636363636364,9.881426690724595,0.10721125348377948,426,543,704,352
Epstein emails 2007–2025 (full),0.5,1,Resource Allocation,0.495754777892562,0.044444444444444446,0.5113636363636364,9.878714072260262,0.10721125348377948,426,543,704,352
Epstein emails 2007–2025 (full),0.5,1,Preferential Attachment,0.5245310885847108,0.0335195530726257,0.5085227272727273,7.88055663862465,0.09271455408231195,426,543,704,352
Epstein emails 2007–2025 (full),0.5,1,Katz,0.49604532541322316,0.0,0.4971590909090909,9.857716926645725,-0.05337605126836238,426,543,704,352
Epstein emails 2007–2025 (full),0.5,1,Personalized PageRank,0.5198702221074379,0.0056657223796034,0.5014204545454546,8.03794325848018,0.03771571432023571,426,543,704,352
Epstein emails 2007–2025 (full),0.5,1,node2vec,0.5148663481404958,0.09326424870466321,0.5028409090909091,2.0456343516565614,0.013251136747832066,426,543,704,352
Epstein emails 2007–2025 (full),0.5,1,Matrix Completion,0.5253341296487604,0.011299435028248588,0.5028409090909091,7.339697925368551,0.05337605126836238,426,543,704,352
Epstein emails 2007–2025 (full),0.5,1,CHESHIRE,0.8727240444214877,0.5868725868725869,0.6960227272727273,1.841233195049027,0.4617787082596811,426,543,704,352
Epstein emails 2007–2025 (full),0.5,2,Null-Tie,0.5,0.6666666666666666,0.5,0.6931471805599453,0.0,426,543,704,352
Epstein emails 2007–2025 (full),0.5,2,Common Neighbors,0.4923327737603306,0.01634877384196185,0.4872159090909091,9.832337020961202,-0.08852934865509081,426,543,704,352
Epstein emails 2007–2025 (full),0.5,2,Jaccard,0.4913037512913223,0.0,0.48579545454545453,10.112687711094082,-0.12003841844183591,426,543,704,352
Epstein emails 2007–2025 (full),0.5,2,Adamic–Adar,0.4949154183884298,0.011299435028248588,0.5028409090909091,9.82231308021024,0.05337605126836238,426,543,704,352
Epstein emails 2007–2025 (full),0.5,2,Resource Allocation,0.4949154183884298,0.011299435028248588,0.5028409090909091,9.820319369649612,0.05337605126836238,426,543,704,352
Epstein emails 2007–2025 (full),0.5,2,Preferential Attachment,0.535842264979339,0.02247191011235955,0.5056818181818182,7.6309725623397435,0.07559289460184544,426,543,704,352
Epstein emails 2007–2025 (full),0.5,2,Katz,0.49141270661157027,0.0,0.4971590909090909,9.877946780965742,-0.05337605126836238,426,543,704,352
Epstein emails 2007–2025 (full),0.5,2,Personalized PageRank,0.5273760330578513,0.011299435028248588,0.5028409090909091,7.868932074222993,0.05337605126836238,426,543,704,352
Epstein emails 2007–2025 (full),0.5,2,node2vec,0.5030346074380165,0.08021390374331551,0.5113636363636364,2.070641071087739,0.06531101891882723,426,543,704,352
Epstein emails 2007–2025 (full),0.5,2,Matrix Completion,0.45881488894628103,0.0,0.49857954545454547,10.327283199417607,-0.03771571432023571,426,543,704,352
Epstein emails 2007–2025 (full),0.5,2,CHESHIRE,0.8948298682851239,0.8128,0.8338068181818182,1.6686651171250013,0.6850904343395937,426,543,704,352
Epstein emails 2007–2025 (full),0.5,3,Null-Tie,0.5,0.6666666666666666,0.5,0.6931471805599453,0.0,426,543,704,352
Epstein emails 2007–2025 (full),0.5,3,Common Neighbors,0.5148905604338843,0.03260869565217391,0.4943181818181818,9.842839954304269,-0.038124642583151166,426,543,704,352
Epstein emails 2007–2025 (full),0.5,3,Jaccard,0.513772759555785,0.01098901098901099,0.48863636363636365,9.904258474121725,-0.08779025626122941,426,543,704,352
Epstein emails 2007–2025 (full),0.5,3,Adamic–Adar,0.5176911157024793,0.028011204481792718,0.5071022727272727,9.560015866374954,0.08457585839117282,426,543,704,352
Epstein emails 2007–2025 (full),0.5,3,Resource Allocation,0.5176830449380165,0.028011204481792718,0.5071022727272727,9.558777547687654,0.08457585839117282,426,543,704,352
Epstein emails 2007–2025 (full),0.5,3,Preferential Attachment,0.5404506714876033,0.02247191011235955,0.5056818181818182,7.598924350901967,0.07559289460184544,426,543,704,352
Epstein emails 2007–2025 (full),0.5,3,Katz,0.5173077543904959,0.0056657223796034,0.5014204545454546,9.551067613947176,0.03771571432023571,426,543,704,352
Epstein emails 2007–2025 (full),0.5,3,Personalized PageRank,0.5204997417355371,0.016901408450704224,0.5042613636363636,7.8289536184723065,0.06541865613579516,426,543,704,352
Epstein emails 2007–2025 (full),0.5,3,node2vec,0.48803912706611574,0.1282051282051282,0.5170454545454546,2.022236661463433,0.07543142864047142,426,543,704,352
Epstein emails 2007–2025 (full),0.5,3,Matrix Completion,0.5067794421487604,0.011299435028248588,0.5028409090909091,10.231271297743266,0.05337605126836238,426,543,704,352
Epstein emails 2007–2025 (full),0.5,3,CHESHIRE,0.8838173101756197,0.7567567567567568,0.7954545454545454,1.6763848128635865,0.6233022919309994,426,543,704,352
Epstein emails 2007–2025 (full),0.5,4,Null-Tie,0.5,0.6666666666666666,0.5,0.6931471805599453,0.0,426,543,704,352
Epstein emails 2007–2025 (full),0.5,4,Common Neighbors,0.5017876743285125,0.043596730245231606,0.5014204545454546,9.814429556757034,0.00983659429501009,426,543,704,352
Epstein emails 2007–2025 (full),0.5,4,Jaccard,0.5000847430268596,0.005555555555555556,0.4914772727272727,10.073616676023853,-0.08040844011283461,426,543,704,352
Epstein emails 2007–2025 (full),0.5,4,Adamic–Adar,0.5029256521177686,0.0335195530726257,0.5085227272727273,9.806675948853682,0.09271455408231195,426,543,704,352
Epstein emails 2007–2025 (full),0.5,4,Resource Allocation,0.5029256521177686,0.0335195530726257,0.5085227272727273,9.808434045736531,0.09271455408231195,426,543,704,352
Epstein emails 2007–2025 (full),0.5,4,Preferential Attachment,0.5454747223657025,0.0335195530726257,0.5085227272727273,7.448336849353348,0.09271455408231195,426,543,704,352
Epstein emails 2007–2025 (full),0.5,4,Katz,0.5041524083161157,0.0,0.49857954545454547,9.834458480829786,-0.03771571432023571,426,543,704,352
Epstein emails 2007–2025 (full),0.5,4,Personalized PageRank,0.5324928977272727,0.011299435028248588,0.5028409090909091,7.628008399793692,0.05337605126836238,426,543,704,352
Epstein emails 2007–2025 (full),0.5,4,node2vec,0.5077721461776858,0.10852713178294573,0.5099431818181818,2.020772779869223,0.04574577177484857,426,543,704,352
Epstein emails 2007–2025 (full),0.5,4,Matrix Completion,0.4797585227272727,0.011267605633802818,0.5014204545454546,4.464645400310693,0.021806218711931717,426,543,704,352
Epstein emails 2007–2025 (full),0.5,4,CHESHIRE,0.8980622094524794,0.8097560975609757,0.8338068181818182,1.569566810486606,0.6900343226422797,426,543,704,352
Enron emails (core-100),0.1,0,Null-Tie,0.5,0.6666666666666666,0.5,0.6931471805599453,0.0,100,1487,10537,1054
Enron emails (core-100),0.1,0,Common Neighbors,0.5473600164188832,0.049225159525979945,0.5052182163187856,4.832506725086377,0.036914622314416626,100,1487,10537,1054
Enron emails (core-100),0.1,0,Jaccard,0.5581772159191154,0.011288805268109126,0.5014231499051234,4.942935935473207,0.021826986543983434,100,1487,10537,1054
Enron emails (core-100),0.1,0,Adamic–Adar,0.5487539111868044,0.03686635944700461,0.50426944971537,4.849403146472229,0.035468548361507965,100,1487,10537,1054
Enron emails (core-100),0.1,0,Resource Allocation,0.5489748999924386,0.024208566108007448,0.5028462998102466,4.891718674153975,0.029361010975735177,100,1487,10537,1054
Enron emails (core-100),0.1,0,Preferential Attachment,0.4444872519614444,0.06255430060816682,0.4881404174573055,1.080387971112766,-0.05660412824342403,100,1487,10537,1054
Enron emails (core-100),0.1,0,Katz,0.4902422865455174,0.0,0.47722960151802657,4.123205916259419,-0.1526465553944353,100,1487,10537,1054
Enron emails (core-100),0.1,0,Personalized PageRank,0.49581966593333787,0.0037629350893697085,0.4976280834914611,1.3190164745296453,-0.03637831090663905,100,1487,10537,1054
