"dataset","mechanism","rho","trial","fit","roc_auc","avg_precision","fit_seconds"
"Epstein emails 2007–2025 (core-100)","MNAR_degree",0.3,5,"MPLE",0.448529411764706,0.542382145561086,0.0490000000000004
"Epstein emails 2007–2025 (core-100)","MNAR_degree",0.3,6,"MPLE",0.707179930795848,0.730889843769051,0.0440000000000005
"Epstein emails 2007–2025 (core-100)","MNAR_degree",0.3,7,"MPLE",0.633217993079585,0.665209735716494,0.0439999999999996
"Epstein emails 2007–2025 (core-100)","MNAR_degree",0.3,8,"MPLE",0.560121107266436,0.664921230979947,0.0489999999999995
"Epstein emails 2007–2025 (core-100)","MNAR_degree",0.3,9,"MPLE",0.447664359861592,0.556590743824382,0.0449999999999999
"Epstein emails 2007–2025 (core-100)","MNAR_degree",0.3,10,"MPLE",0.360294117647059,0.491416296195163,0.0449999999999999
"Epstein emails 2007–2025 (core-100)","MNAR_degree",0.5,1,"MPLE",0.680142687277051,0.685947108777991,0.0439999999999996
"Epstein emails 2007–2025 (core-100)","MNAR_degree",0.5,2,"MPLE",0.73974435196195,0.725903820471036,0.0459999999999994
"Epstein emails 2007–2025 (core-100)","MNAR_degree",0.5,3,"MPLE",0.747621878715815,0.782489836892224,0.0640000000000001
"Epstein emails 2007–2025 (core-100)","MNAR_degree",0.5,4,"MPLE",0.248216409036861,0.39012024327214,0.0439999999999996
"Epstein emails 2007–2025 (core-100)","MNAR_degree",0.5,5,"MPLE",0.380796670630202,0.539336774752652,0.0449999999999999
"Epstein emails 2007–2025 (core-100)","MNAR_degree",0.5,6,"MPLE",0.735434007134364,0.734737473322934,0.0459999999999994
"Epstein emails 2007–2025 (core-100)","MNAR_degree",0.5,7,"MPLE",0.757877526753864,0.742096973671633,0.0820000000000007
"Epstein emails 2007–2025 (core-100)","MNAR_degree",0.5,8,"MPLE",0.357907253269917,0.525836848113089,0.0510000000000002
"Epstein emails 2007–2025 (core-100)","MNAR_degree",0.5,9,"MPLE",0.783442330558858,0.800092156993223,0.0449999999999999
"Epstein emails 2007–2025 (core-100)","MNAR_degree",0.5,10,"MPLE",0.273632580261593,0.443626077879928,0.048
"Enron emails (core-100)","MCAR",0.1,1,"MPLE",0.648602994886779,0.555933233567098,0.103
"Enron emails (core-100)","MCAR",0.1,2,"MPLE",0.732925493060628,0.65291079348022,0.0999999999999996
"Enron emails (core-100)","MCAR",0.1,3,"MPLE",0.694074141709277,0.617442116742148,0.097999999999999
"Enron emails (core-100)","MCAR",0.1,4,"MPLE",0.672616873630387,0.571286895850111,0.088000000000001
