,Airline,Code
238,Aer Arann,RE
239,Air Austral,UU
240,Asian Spirit,6K
241,Air Afrique,RK
242,Airlinair,A5
243,Aero Lanka,QL
244,Armenian International Airways,MV
245,Armavia,U8
246,Aeromar,VW
247,AeroRep,P5
248,Aero-Service,BF
249,Aerosur,5L
250,Air Santo Domingo,EX
251,Aero California,JR
252,Avient Aviation,Z3
253,Air Service,M3
254,Air Slovakia,GM
255,Aircompany Yakutia,R3
256,Air Turks and Caicos,JY
257,Arkefly,OR
258,Airlines PNG,CG
259,Air Cal,TY
260,AirTran Airways,FL
261,Air Transat,TS
262,Avialeasing Aviation Company,EC
263,Tyrolean Airways,\N
264,Aero-Charter Ukraine,DW
265,Air Ukraine,6U
266,Aerolineas Galapagos (Aerogal),2K
267,Alrosa Mirny Air Enterprise,6R
268,Baker Aviation,8Q
269,British Airways,BA
270,Biman Bangladesh Airlines,BG
271,Bluebird Cargo,BF
272,BACH Flugbetriebsges,B4
273,Blue Dart Aviation,BZ
274,B&H Airlines,JA
275,Buffalo Airways,J4
276,Benin Golf Air,A8
277,Belair Airlines,4T
278,Bahamasair,UP
279,Bringer Air Cargo Taxi Aereo,E6
280,Balkan Bulgarian Airlines,LZ
281,BA Connect,TH
282,British International Helicopters,BS
283,Bankair,B4
284,Bangkok Airways,PG
285,Blue1,KF
286,Bearskin Lake Air Service,JV
287,Bellview Airlines,B3
288,bmi,BD
289,bmibaby,WW
290,Bemidji Airlines,CH
291,Bismillah Airlines,5Z
292,Bouraq Indonesia Airlines,BO
293,Blue Panorama Airlines,BV
294,BRA-Transportes Aereos,7R
295,Bering Air,8E
296,Belavia Belarusian Airlines,B2
297,Bravo Air Congo,K6
298,Braniff International Airways,BN
299,Big Sky Airlines,GQ
300,BAL Bashkirian Airlines,V9
301,Metro Batavia,7P
302,Berjaya Air,J8
303,Blue Wings,QW
304,BAX Global,8W
305,Bayu Indonesia Air,BM
306,Brit Air,DB
307,Boston-Maine Airways,E9
308,Brussels Airlines,SN
309,Binter Canarias,NT
310,Blue Air,0B
311,British Mediterranean Airways,KJ
312,Bulgaria Air,FB
313,Barents AirLink,8N
314,CAL Cargo Air Lines,5C
315,CHC Airways,AW
316,Calima Aviacion,XG
317,Calm Air,MO
318,Camai Air,R9
319,Cameroon Airlines,UY
320,CanJet,C6
321,Canadian Airlines,CP
322,Canadian North,5T
323,Canadian Western Airlines,W2
324,Cape Air,9K
325,Capital Cargo International Airlines,PT
326,Cargo 360,GG
327,Cargoitalia,2G
328,Cargojet Airways,W8
329,Cargolux,CV
330,Caribbean Airlines,BW
331,Caribbean Star Airlines,8B
332,Carpatair,V3
333,Caspian Airlines,RV
334,Cathay Pacific,CX
335,Cayman Airways,KX
336,Cebu Pacific,5J
337,Centavia,7N
338,Centralwings,C0
339,Centre-Avia,J7
340,Centurion Air Cargo,WE
341,Chalk's Ocean Airways,OP
342,Champion Air,MG
343,Changan Airlines,2Z
344,Chari Aviation Services,S8
345,Chautauqua Airlines,RP
346,Chicago Express,C8
347,China Airlines,CI
348,China Cargo Airlines,CK
349,China Eastern Airlines,MU
350,China Northern Airlines,CJ
351,China Northwest Airlines,WH
352,China Postal Airlines,8Y
353,China Southern Airlines,CZ
354,China United Airlines,HR
355,China Xinhua Airlines,XO
356,Yunnan Airlines,3Q
357,Chitaavia,X7
358,Cielos Airlines,A2
359,Cimber Air,QI
360,Cirrus Airlines,C9
361,City Airline,CF
362,City Connexion Airlines,G3
363,CityJet,WX
364,BA CityFlyer,CJ
365,Civil Air Transport,CT
366,Club Air,6P
367,Coast Air,BX
368,Coastal Air,DQ
369,Colgan Air,9L
370,Comair,MN
371,CommutAir,C5
372,Comores Airlines,KR
373,Compania Mexicargo,GJ
374,Compass Airlines,CP
375,Condor Flugdienst,DE
376,Consorcio Aviaxsa,6A
377,Contact Air,C3
378,Continental Airlines,CO
379,Continental Airways,PC
380,Continental Express,CO
381,Continental Micronesia,CS
382,Conviasa,V0
383,Copa Airlines,CM
384,Corsairfly,SS
385,Corse-Mediterranee,XK
386,Cosmic Air,F5
387,Croatia Airlines,OU
388,Crossair Europe,QE
389,Cubana de Aviación,CU
